Day,Weekday,Hour,E_LastHour,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12
05/12/22,3,11,14.863575,7.3638916,6.2572947,5.1170044,3.5183787,2.4690413,2.2033293,1.0044391,0.028433103,4.0118666e-05,0.0017258278,0.0043177227,0.002254336
05/12/22,3,12,11.911366666666668,7.3486037,5.9363,4.32824,4.189889,3.0790725,1.7104824,1.0342302,0.016604953,6.488943e-06,0.0013162466,0.010611758,0.0070858058
05/12/22,3,13,9.8128,5.821624,4.094179,3.391798,2.9360297,1.743789,1.2653757,0.79921365,0.07510218,0.0010288188,0.020787563,0.06843378,0.019852923
05/12/22,3,14,2.420174999999997,2.0515041,1.974747,1.6510593,2.0319946,1.1806743,0.747448,0.6066003,0.09185264,0.0036082312,0.05276556,0.15927826,0.061672766
05/12/22,3,15,3.056474999999999,2.5733547,1.8482686,1.7263049,1.5246325,0.8483236,0.46145183,0.39538613,0.15809798,0.076530054,0.42335287,0.9825039,0.34066138
05/12/22,3,16,0.0,0.572754,0.47911233,0.37435803,0.6702359,0.7460792,0.64873403,0.3363618,0.21330605,0.40802044,0.63594675,0.68667,0.68676126
05/12/22,3,17,2.8467833333333328,2.6114714,1.9078348,1.1690261,0.9786002,0.7051873,0.44890273,0.32336357,0.2842639,0.23188351,0.2753115,0.22621351,0.27898926
05/12/22,3,18,1.683275,1.0792401,0.6917753,0.5202535,0.68763006,0.65691763,0.7022003,0.38886207,0.24138537,0.1235418,0.14376003,0.13373402,0.15993312
05/12/22,3,19,2.7116249999999997,2.2214015,1.6636641,1.0767103,1.0662025,0.82845724,0.6433808,0.39675695,0.2938856,0.21308655,0.22313124,0.17563276,0.22263123
05/12/22,3,20,3.087133333333333,2.0063787,1.214739,0.7636386,0.7434956,0.7705944,0.78006124,0.4441339,0.29548928,0.20058776,0.20496729,0.17617413,0.22922926
05/12/22,3,21,0.0,0.5972822,0.48516482,0.38414803,0.83119243,1.0533152,0.8469019,0.38956317,0.25725558,0.6218099,1.009333,1.3845351,1.339842
05/12/22,3,22,0.0,0.9258249,0.9343579,0.73020804,1.1482899,1.0201104,0.67363936,0.3902416,0.44913402,3.8610306,7.9793286,10.096273,9.432847
05/12/22,3,23,0.0,0.37243304,0.5006537,0.41569704,0.49003214,0.60787785,0.7771053,0.5614908,0.49621522,1.4768218,8.660521,15.952875,12.588947
05/13/22,4,0,0.0,0.21523525,0.29485175,0.22398447,0.22362494,0.2433816,0.36204946,0.49795416,1.4579264,6.470259,12.327955,7.73478,4.7949543
05/13/22,4,1,0.0,0.33698487,0.36632925,0.3156553,0.5311204,0.649611,0.78198075,2.3343322,9.421117,16.08847,11.249476,6.3431697,5.6846924
05/13/22,4,2,0.0,0.43042856,0.42609552,0.3771509,0.52648014,0.6726632,2.1313877,9.470879,16.570707,12.832291,7.4496975,5.0832577,4.7500477
05/13/22,4,3,0.0,0.34976402,0.35613334,0.2626147,0.42144474,1.5128087,7.4221134,14.268387,11.152554,6.965812,5.3545065,3.7877038,2.9405293
05/13/22,4,4,0.0,0.24192227,0.34851348,0.42809582,1.5305736,7.970923,13.542672,11.010761,7.5643306,6.4675636,4.472883,2.8412576,2.351268
05/13/22,4,5,0.0,0.25651956,0.55833805,1.5421156,7.677782,15.003905,10.960554,7.6835785,6.903524,5.67872,3.4790647,2.33948,1.9060832
05/13/22,4,6,0.0,0.49887526,1.942837,7.5221634,13.482548,11.199123,6.6847916,5.3679886,4.2774305,3.2388587,2.157582,1.4493581,0.81930554
05/13/22,4,7,0.0,1.5973209,7.4627995,13.862385,11.342102,7.549321,6.207463,4.6096315,3.1386497,2.1657677,1.7253479,0.92668056,0.434097
05/13/22,4,8,0.0,4.314519,12.237623,8.44761,5.2871413,4.2245526,3.1986053,2.2812688,1.9847947,1.295528,0.8141333,0.40604857,0.46913955
05/13/22,4,9,12.710525,22.179777,16.130653,9.876149,5.471433,5.062832,3.0366764,3.0494604,0.05746764,0.11542631,0.0111094555,0.0014107255,0.0005191001
